X_1,Y_1,X_2,Y_2:U_0,D_0,L_0,R_0,U_1,D_1,L_1,R_1
3,2,1,1:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3,1,1:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4,1,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,1,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,1,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,4,1,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,1,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2,1,2:0.18189730200174065,0.31505657093124456,0.2506527415143603,0.2523933855526545,0.30983463881636203,0.20800696257615317,0.22019147084421237,0.2619669277632724
1,3,1,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,4,1,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0,1,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1,1,2:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,1,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3,1,2:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,4,1,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0,1,2:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1,1,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2,1,2:1.0,0.0,0.0,0.0,0.0,0.0,0.6405570060922542,0.35944299390774587
3,3,1,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,4,1,2:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,1,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,3:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,1,3:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,1,3:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,4,1,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0,1,3:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1,1,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2,1,3:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,1,3:0.18189730200174065,0.299390774586597,0.36640557006092256,0.15230635335073978,0.3063533507397737,0.19843342036553524,0.17145343777197564,0.3237597911227154
1,4,1,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0,1,3:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1,1,3:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,2,1,3:0.720626631853786,0.0,0.0,0.2793733681462141,0.3968668407310705,0.02610966057441253,0.006962576153176675,0.5700609225413403
2,3,1,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,4,1,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0,1,3:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1,1,3:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2,1,3:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,1,3:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,4,1,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,1,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,1,1,4:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,1,4:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,1,4:0.0,1.0,0.0,0.0,0.004351610095735422,0.9956483899042646,0.0,0.0
0,4,1,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0,1,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1,1,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,2,1,4:0.0,0.0,0.0,1.0,0.0278503046127067,0.9721496953872933,0.0,0.0
1,3,1,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,4,1,4:0.18450826805918188,0.3063533507397737,0.5091383812010444,0.0,0.4299390774586597,0.4142732811140122,0.15578764142732812,0.0
2,0,1,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1,1,4:0.0,0.0,0.0,1.0,0.8476936466492603,0.0,0.15230635335073978,0.0
2,2,1,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,3,1,4:0.8433420365535248,0.0,0.0,0.1566579634464752,0.6109660574412533,0.38903394255874674,0.0,0.0
2,4,1,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0,1,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1,1,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2,1,4:1.0,0.0,0.0,0.0,0.8494342906875544,0.0,0.15056570931244562,0.0
3,3,1,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,4,1,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,2,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,2,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,2,0:0.0,1.0,0.0,0.0,0.0,0.017406440382941687,0.0,0.9825935596170583
0,3,2,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4,2,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,2,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,2,0:0.0,0.8476936466492603,0.15230635335073978,0.0,0.34029590948651,0.65970409051349,0.0,0.0
1,2,2,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,2,0:0.0,0.0,1.0,0.0,0.0,0.012184508268059183,0.0,0.9878154917319408
1,4,2,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
